id,title,singer,description
001,鳥の詩,Lia,『AIR』OP
002,Farewell song,Lia,『AIR』ED
003,メグメル,riya,『CLANNAD』OP
004,だんご大家族,茶太,『CLANNAD　第2期』挿入歌
005,夜明け生まれ来る少女,高橋洋子,『灼眼のシャナ』ED
006,Light My Fire,KOTOKO,『灼眼のシャナ 第3期』OP
007,七つの海よりキミの海,上坂すみれ,『波打際のむろみさん』OP
008,リフレクティア,eufonius,『true tears』OP
009,君が好きだと叫びたい,BAAD,『SLAM DUNK』OP
010,あなただけ見つめてる,大黒摩季,『SLAM DUNK』ED
011,世界が終わるまでは,WANDS,『SLAM DUNK』ED
012,残酷な天使のテーゼ,高橋洋子,『新世紀エヴァンゲリオン』OP
013,太陽曰く燃えよカオス,後ろから這いより隊G（ニャル子〈阿澄佳奈〉、クー子〈松来未祐〉、暮井珠緒〈大坪由佳〉）,『這いよれ! ニャル子さん』OP
014,恋は渾沌の隷也（こいはカオスのしもべなり）,後ろから這いより隊G（ニャル子〈阿澄佳奈〉、クー子〈松来未祐〉、暮井珠緒〈大坪由佳〉）,『這いよれ! ニャル子さん 第2期』OP
015,ギミー!レボリューション,内田真礼,『俺、ツインテールになります。』OP
016,愛をとりもどせ!!,クリスタルキング,『北斗の拳』OP
017,ジョジョ 〜その血の運命〜,富永TOMMY弘明,『ジョジョの奇妙な冒険』OP
018,コネクト,ClariS,『魔法少女まどか☆マギカ』OP
019,Magia,Kalafina,『魔法少女まどか☆マギカ』ED
020,ルミナス,ClariS,『魔法少女まどか☆マギカ 前編』OP
021,irony,ClariS,『俺の妹がこんなに可愛いわけがない』OP
022,Los! Los! Los!,悠木碧,『幼女戦記』ED
023,旅の途中,清浦夏実,『狼と香辛料』OP
024,蜜の夜明け,新居昭乃,『狼と香辛料 第2期』OP
025,My Dearest,supercell,『ギルティクラウン』OP
026,The Everlasting Guilty Crown,EGOIST,『ギルティクラウン』OP
027,残念系隣人部★★☆（星二つ半）,友達つくり隊［三日月夜空（井上麻里奈）、柏崎星奈（伊藤かな恵）、楠幸村（山本希望）、志熊理科（福圓美里）、羽瀬川小鳩（花澤香菜）、高山マリア（井口裕香）］,『僕は友達が少ない』OP
028,First kiss,ICHIKO,『ゼロの使い魔』OP
029,コレカラ,Machico,『りゅうおうのおしごと!』OP
030,アンインストール,石川智晶,『ぼくらの』OP
031,恋スル気持チ,谷戸由李亜,『最終兵器彼女』OP
032,サヨナラ,谷戸由李亜,『最終兵器彼女』ED
033,青い栞,Galileo Galilei,『あの日見た花の名前を僕達はまだ知らない。』OP
034,secret base 〜君がくれたもの〜（10 years after Ver.）,本間芽衣子（茅野愛衣）、安城鳴子（戸松遥）、鶴見知利子（早見沙織）,『あの日見た花の名前を僕達はまだ知らない。』ED
035,悲しみの向こうへ,いとうかなこ,『School Days』第12話挿入歌
036,デビルマンの歌,十田敬三、ボーカル・ショップ,『デビルマン』OP
037,プレパレード,逢坂大河・櫛枝実乃梨・川嶋亜美（釘宮理恵・堀江由衣・喜多村英梨）,『とらドラ!』OP
038,SAVIOR OF SONG,ナノ feat.MY FIRST STORY,『蒼き鋼のアルペジオ』OP
039,海色,AKINO from bless4,『艦隊これくしょん -艦これ- 』OP
040,吹雪,西沢幸奏,『艦隊これくしょん -艦これ- 』ED
041,この世の果てで恋を唄う少女,亜咲花,『この世の果てで恋を唄う少女YU-NO』OP
042,only my railgun,fripSide,『とある科学の超電磁砲』OP
043,Save you Save me,衛藤可奈美（本渡楓）、十条姫和（大西沙織）、柳瀬舞衣（和氣あず未）、糸見沙耶香（木野日菜）、益子薫（松田利冴）、古波蔵エレン（鈴木絵理）,『刀使ノ巫女』OP
044,SHINE OF VOICE,dream,『いちご100%』OP
045,IKE IKE,HINOIチーム,『いちご100%』ED
046,サキワフハナ,三森すずこ,『結城友奈は勇者である』 鷲尾須美の章OP
047,やくそく,鷲尾須美（三森すずこ）、乃木園子（花澤香菜）,『結城友奈は勇者である』 鷲尾須美の章ED
048,空は高く風は歌う,春奈るな,『Fate/Zero』ED
049,High Free Spirits,TrySail,『ハイスクール・フリート』OP
050,Ripple Effect,春奈るな,『ハイスクール・フリート』ED
051,ラブ・ドラマティック feat. 伊原六花,鈴木雅之,『かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜』OP
052,チカっとチカ千花っ♡,藤原千花（小原好美）,『かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜』ED
053,DADDY! DADDY! DO! feat. 鈴木愛理,鈴木雅之,『かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜 第2期』OP
054,innocent starter,水樹奈々,『魔法少女リリカルなのは』OP
055,ETERNAL BLAZE,水樹奈々,『魔法少女リリカルなのはA's』OP
056,SECRET AMBITION,水樹奈々,『魔法少女リリカルなのはStrikerS』OP
057,灼熱スイッチ,雀が原中学卓球部（花守ゆみり、田中美海、高野麻里佳、桑原由気、今村彩夏、東城日沙子）,『灼熱の卓球娘』OP
058,"One more time, One more chance",山崎まさよし,『秒速5センチメートル』主題歌
059,Perfect-area complete!,麻生夏子,『バカとテストと召喚獣』OP
060,SOMEONE ELSE,種島ぽぷら（阿澄佳奈）、伊波まひる（藤田咲）、轟八千代（喜多村英梨）,『WORKING!!』OP
061,アンノウン・ワールドマップ,やくしまるえつこ,『ハイスコアガール 第2期』ED
062,ラムのラブソング,松谷祐子,『うる星やつら』OP
063,侵略ノススメ☆,ULTRA-PRISM with イカ娘（金元寿子）,『侵略!イカ娘』OP
